order_approved_at,order_id,weekday_name
2017-01-01,0,Sunday
2017-01-02,0,Monday
2017-01-03,0,Tuesday
2017-01-04,0,Wednesday
2017-01-05,3,Thursday
2017-01-06,3,Friday
2017-01-07,33,Saturday
2017-01-08,4,Sunday
2017-01-09,4,Monday
2017-01-10,6,Tuesday
2017-01-11,11,Wednesday
2017-01-12,14,Thursday
2017-01-13,12,Friday
2017-01-14,17,Saturday
2017-01-15,8,Sunday
2017-01-16,15,Monday
2017-01-17,35,Tuesday
2017-01-18,33,Wednesday
2017-01-19,26,Thursday
2017-01-20,26,Friday
2017-01-21,26,Saturday
2017-01-22,25,Sunday
2017-01-23,31,Monday
2017-01-24,46,Tuesday
2017-01-25,62,Wednesday
2017-01-26,75,Thursday
2017-01-27,49,Friday
2017-01-28,52,Saturday
2017-01-29,30,Sunday
2017-01-30,40,Monday
2017-01-31,74,Tuesday
2017-02-01,81,Wednesday
2017-02-02,69,Thursday
2017-02-03,61,Friday
2017-02-04,69,Saturday
2017-02-05,56,Sunday
2017-02-06,68,Monday
2017-02-07,124,Tuesday
2017-02-08,86,Wednesday
2017-02-09,91,Thursday
2017-02-10,87,Friday
2017-02-11,54,Saturday
2017-02-12,46,Sunday
2017-02-13,60,Monday
2017-02-14,86,Tuesday
2017-02-15,82,Wednesday
2017-02-16,61,Thursday
2017-02-17,43,Friday
2017-02-18,54,Saturday
2017-02-19,32,Sunday
2017-02-20,42,Monday
2017-02-21,44,Tuesday
2017-02-22,73,Wednesday
2017-02-23,50,Thursday
2017-02-24,75,Friday
2017-02-25,44,Saturday
2017-02-26,42,Sunday
2017-02-27,38,Monday
2017-02-28,47,Tuesday
2017-03-01,64,Wednesday
2017-03-02,100,Thursday
2017-03-03,90,Friday
2017-03-04,75,Saturday
2017-03-05,67,Sunday
2017-03-06,86,Monday
2017-03-07,106,Tuesday
2017-03-08,90,Wednesday
2017-03-09,113,Thursday
2017-03-10,91,Friday
2017-03-11,71,Saturday
2017-03-12,64,Sunday
2017-03-13,111,Monday
2017-03-14,99,Tuesday
2017-03-15,108,Wednesday
2017-03-16,102,Thursday
2017-03-17,64,Friday
2017-03-18,73,Saturday
2017-03-19,56,Sunday
2017-03-20,119,Monday
2017-03-21,87,Tuesday
2017-03-22,83,Wednesday
2017-03-23,81,Thursday
2017-03-24,100,Friday
2017-03-25,83,Saturday
2017-03-26,63,Sunday
